"Perioden";"Wijken en buurten";"Regiocode (gemeente, wijk, buurt) (code)";"Particuliere huishoudens (Aantal)";"Opleidingsniveau/Laag/Waarde (%)";"Opleidingsniveau/Middelbaar/Waarde (%)";"Opleidingsniveau/Hoog/Waarde (%)";"SES-WOA/Totaalscore/Gemiddelde score (Getal)";"Spreiding/Spreiding totaal/Waarde (Getal)"
"2019";"Gerard Doubuurt";"BU03632401";"    1300";"    14.7";"    29.1";"    56.2";"  -0.038";"   0.981"
"2019";"Frans Halsbuurt";"BU03632402";"    1700";"    12.7";"    23.9";"    63.3";"   0.100";"   0.887"
"2019";"Hercules Seghersbuurt";"BU03632403";"    1700";"    16.4";"    26.6";"    57.0";"  -0.092";"   0.977"
"2019";"Sarphatiparkbuurt";"BU03632404";"    3300";"    13.2";"    25.9";"    60.9";"   0.028";"   0.918"
"2019";"Nieuwe Pijp";"WK036325  ";"    7800";"    16.0";"    25.0";"    59.1";"  -0.003";"   0.961"
"2019";"Willibrordusbuurt";"BU03632500";"    1800";"    19.5";"    25.6";"    54.9";"  -0.117";"   0.976"
"2019";"Van der Helstpleinbuurt";"BU03632501";"    2400";"    13.6";"    24.2";"    62.1";"   0.067";"   0.946"
"2019";"Lizzy Ansinghbuurt";"BU03632502";"    1400";"    17.0";"    26.3";"    56.8";"  -0.044";"   0.971"
"2019";"Cornelis Troostbuurt";"BU03632503";"    2200";"    15.0";"    24.4";"    60.6";"   0.040";"   0.941"
"2019";"Zuid Pijp";"WK036326  ";"    4800";"    25.3";"    28.1";"    46.6";"  -0.290";"   1.044"
"2019";"Diamantbuurt";"BU03632600";"    1800";"    27.2";"    28.4";"    44.4";"  -0.325";"   1.068"
"2019";"Burgemeester Tellegenbuurt Oost";"BU03632601";"    1700";"    23.0";"    27.4";"    49.6";"  -0.253";"   1.035"
"2019";"Burgemeester Tellegenbuurt West";"BU03632602";"    1400";"    25.6";"    28.6";"    45.8";"  -0.288";"   1.022"
"2019";"Weesperzijde";"WK036327  ";"    3300";"    10.8";"    22.9";"    66.4";"   0.157";"   0.918"
"2019";"Swammerdambuurt";"BU03632700";"    1200";"     8.2";"    21.6";"    70.2";"   0.251";"   0.828"
"2019";"Weesperzijde Midden/Zuid";"BU03632701";"    1900";"    11.7";"    21.5";"    66.8";"   0.192";"   0.899"
"2019";"Parooldriehoek";"BU03632702";"     200";"    17.4";"    42.8";"    39.8";"  -0.715";"   0.970"
"2019";"Oosterparkbuurt";"WK036328  ";"    6400";"    20.4";"    25.2";"    54.4";"  -0.133";"   1.056"
"2019";"Oosterparkbuurt Noordwest";"BU03632800";"    2400";"    17.5";"    25.4";"    57.1";"  -0.113";"   1.000"
"2019";"Oosterpark";"BU03632801";"     100";"       .";"       .";"       .";"       .";"       ."
"2019";"Oosterparkbuurt Zuidoost";"BU03632802";"    2100";"    18.3";"    23.6";"    58.1";"  -0.020";"   1.027"
"2019";"Oosterparkbuurt Zuidwest";"BU03632803";"    1800";"    26.9";"    26.7";"    46.3";"  -0.278";"   1.136"
"2019";"Dapperbuurt";"WK036329  ";"    5700";"    23.1";"    25.0";"    51.9";"  -0.190";"   1.081"
"2019";"Dapperbuurt Noord";"BU03632900";"    2500";"    22.6";"    25.3";"    52.1";"  -0.197";"   1.054"
"2019";"Dapperbuurt Zuid";"BU03632901";"    2300";"    24.0";"    25.6";"    50.4";"  -0.252";"   1.084"
"2019";"Oostpoort";"BU03632902";"    1000";"    22.3";"    22.7";"    55.0";"  -0.039";"   1.105"
"2019";"Transvaalbuurt";"WK036330  ";"    5000";"    25.3";"    25.5";"    49.2";"  -0.250";"   1.098"
"2019";"Transvaalbuurt West";"BU03633000";"    2300";"    26.3";"    25.2";"    48.5";"  -0.262";"   1.100"
"2019";"Transvaalbuurt Oost";"BU03633001";"    2700";"    24.4";"    25.8";"    49.8";"  -0.240";"   1.096"
"2019";"Indische Buurt West";"WK036331  ";"    6900";"    23.7";"    25.3";"    51.0";"  -0.202";"   1.091"
"2019";"Noordwestkwadrant Indische buurt Noord";"BU03633100";"    2300";"    16.9";"    23.6";"    59.4";"  -0.039";"   1.037"
"2019";"Noordwestkwadrant Indische buurt Zuid";"BU03633101";"    2600";"    20.7";"    25.0";"    54.3";"  -0.147";"   1.061"
"2019";"Zuidwestkwadrant Indische buurt";"BU03633102";"    2000";"    35.2";"    27.6";"    37.2";"  -0.457";"   1.119"
"2019";"Indische Buurt Oost";"WK036332  ";"    5200";"    29.7";"    27.8";"    42.5";"  -0.324";"   1.098"
"2019";"Noordoostkwadrant Indische buurt";"BU03633200";"    3200";"    30.8";"    28.9";"    40.3";"  -0.370";"   1.090"
"2019";"Zuidoostkwadrant Indische buurt";"BU03633201";"    1800";"    29.7";"    27.0";"    43.3";"  -0.323";"   1.102"
"2019";"Zeeburgerdijk Oost";"BU03633202";"     200";"    15.0";"    18.3";"    66.7";"   0.333";"   0.820"
"2019";"Flevopark";"BU03633203";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Oostelijk Havengebied";"WK036333  ";"    9400";"    11.5";"    22.3";"    66.2";"   0.295";"   0.826"
"2019";"Oostelijke Handelskade";"BU03633300";"     800";"    10.0";"    20.3";"    69.7";"   0.365";"   0.759"
"2019";"Rietlanden";"BU03633301";"    1300";"    12.6";"    22.6";"    64.8";"   0.256";"   0.859"
"2019";"Java-eiland";"BU03633302";"    1600";"     9.2";"    20.0";"    70.8";"   0.419";"   0.676"
"2019";"KNSM-eiland";"BU03633303";"    1400";"    11.2";"    25.6";"    63.2";"   0.275";"   0.799"
"2019";"Sporenburg";"BU03633304";"    1100";"     6.9";"    17.7";"    75.5";"   0.511";"   0.660"
"2019";"Borneo";"BU03633305";"    1200";"     9.0";"    19.2";"    71.8";"   0.380";"   0.782"
"2019";"Entrepot-Noordwest";"BU03633306";"     800";"    20.2";"    28.7";"    51.1";"  -0.016";"   1.010"
"2019";"Architectenbuurt";"BU03633307";"    1000";"    17.6";"    25.3";"    57.1";"   0.083";"   0.978"
"2019";"Bedrijvengebied Veelaan";"BU03633308";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Bedrijvengebied Cruquiusweg";"BU03633309";"     300";"     8.3";"    22.0";"    69.7";"   0.142";"   0.973"
"2019";"Bedrijvengebied Zeeburgerkade";"BU03633310";"     100";"       .";"       .";"       .";"       .";"       ."
"2019";"Zeeburgereiland/Nieuwe Diep";"WK036334  ";"    2200";"     8.5";"    37.9";"    53.6";"  -0.221";"   1.022"
"2019";"Zeeburgereiland Noordwest";"BU03633400";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Zeeburgereiland Zuidoost";"BU03633402";"     400";"     2.6";"    67.4";"    30.0";"  -0.954";"   0.554"
"2019";"Zeeburgereiland Zuidwest";"BU03633403";"     200";"     6.2";"    48.8";"    45.0";"  -0.684";"   0.709"
"2019";"Nieuwe Diep/Diemerpark";"BU03633404";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"RI Oost terrein";"BU03633405";"    1500";"     9.9";"    29.5";"    60.6";"   0.011";"   0.973"
"2019";"Zeeburgereiland Noordoost";"BU03633406";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"IJburg West";"WK036335  ";"    6100";"    14.6";"    24.3";"    61.1";"   0.224";"   0.918"
"2019";"Steigereiland Noord";"BU03633500";"     700";"    14.3";"    26.3";"    59.3";"   0.154";"   0.946"
"2019";"Steigereiland Zuid";"BU03633501";"     900";"    14.8";"    21.6";"    63.6";"   0.298";"   0.894"
"2019";"Haveneiland Zuidwest/Rieteiland West";"BU03633502";"    1000";"     6.7";"    17.6";"    75.6";"   0.602";"   0.570"
"2019";"Haveneiland Noordwest";"BU03633504";"    1400";"    17.5";"    27.1";"    55.4";"   0.020";"   0.998"
"2019";"Haveneiland Noordoost";"BU03633505";"    2200";"    16.3";"    26.1";"    57.6";"   0.176";"   0.943"
"2019";"Sloterdijk";"WK036336  ";"     300";"    12.9";"    21.3";"    65.8";"   0.118";"   1.010"
"2019";"Woon- en Groengebied Sloterdijk";"BU03633600";"     300";"     4.3";"    18.2";"    77.5";"   0.458";"   0.610"
"2019";"Bedrijventerrein Sloterdijk I";"BU03633601";"     100";"       .";"       .";"       .";"       .";"       ."
"2019";"Landlust";"WK036337  ";"   10200";"    23.8";"    27.7";"    48.6";"  -0.187";"   1.075"
"2019";"Bedrijventerrein Landlust";"BU03633700";"     400";"    11.1";"    19.2";"    69.8";"   0.207";"   0.807"
"2019";"Bosleeuw";"BU03633702";"    2800";"    27.0";"    29.2";"    43.8";"  -0.293";"   1.084"
"2019";"Landlust Zuid";"BU03633703";"    2200";"    22.6";"    25.4";"    52.0";"  -0.097";"   1.061"
"2019";"Erasmusparkbuurt Oost";"BU03633704";"    1000";"    17.7";"    23.8";"    58.6";"   0.014";"   1.019"
"2019";"Gibraltarbuurt";"BU03633705";"    2500";"    26.1";"    30.0";"    43.9";"  -0.298";"   1.101"
"2019";"Landlust Noord";"BU03633706";"    1300";"    22.7";"    28.9";"    48.3";"  -0.159";"   1.043"
"2019";"Erasmuspark";"WK036338  ";"    3300";"    16.3";"    23.9";"    59.8";"   0.088";"   0.918"
"2019";"Erasmusparkbuurt West";"BU03633802";"    2300";"    14.9";"    23.8";"    61.4";"   0.144";"   0.877"
"2019";"Robert Scottbuurt Oost";"BU03633803";"    1000";"    19.8";"    24.2";"    56.0";"  -0.045";"   0.995"
"2019";"De Kolenkit";"WK036339  ";"    4900";"    28.1";"    30.9";"    41.1";"  -0.386";"   1.096"
"2019";"Robert Scottbuurt West";"BU03633900";"    1400";"    21.6";"    31.7";"    46.7";"  -0.288";"   0.963"
"2019";"Laan van Spartaan";"BU03633901";"    1100";"    18.3";"    33.3";"    48.4";"  -0.297";"   1.120"
"2019";"Kolenkitbuurt Zuid";"BU03633902";"    1000";"    27.1";"    28.1";"    44.9";"  -0.222";"   1.098"
"2019";"Kolenkitbuurt Noord";"BU03633903";"    1500";"    41.4";"    30.3";"    28.3";"  -0.644";"   1.125"
"2019";"Geuzenbuurt";"WK036340  ";"    4000";"    14.1";"    23.5";"    62.4";"   0.065";"   0.940"
"2019";"Geuzenhofbuurt";"BU03634000";"    1100";"     9.8";"    22.7";"    67.4";"   0.244";"   0.801"
"2019";"Trompbuurt";"BU03634001";"    1800";"    13.5";"    22.0";"    64.6";"   0.080";"   0.913"
"2019";"Pieter van der Doesbuurt";"BU03634002";"    1100";"    19.6";"    26.9";"    53.5";"  -0.147";"   1.073"
"2019";"Van Galenbuurt";"WK036341  ";"    3400";"    23.8";"    27.9";"    48.3";"  -0.245";"   1.085"
"2019";"John Franklinbuurt";"BU03634100";"    1200";"    21.9";"    28.8";"    49.2";"  -0.224";"   1.049"
"2019";"Jan Maijenbuurt";"BU03634101";"    1300";"    25.7";"    27.1";"    47.2";"  -0.313";"   1.129"
"2019";"Orteliusbuurt Noord";"BU03634102";"     800";"    23.3";"    28.0";"    48.7";"  -0.168";"   1.058"
"2019";"Mercatorpark";"BU03634103";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Hoofdweg e.o.";"WK036342  ";"    6000";"    22.5";"    26.8";"    50.7";"  -0.149";"   1.050"
"2019";"Balboaplein e.o.";"BU03634200";"    1800";"    23.1";"    26.8";"    50.1";"  -0.199";"   1.068"
"2019";"Columbusplein e.o.";"BU03634201";"    2000";"    25.2";"    29.1";"    45.7";"  -0.251";"   1.079"
"2019";"Orteliusbuurt Midden";"BU03634202";"    1100";"    20.6";"    23.5";"    55.9";"  -0.007";"   0.999"
"2019";"Orteliusbuurt Zuid";"BU03634203";"    1100";"    18.7";"    25.9";"    55.4";"  -0.033";"   0.977"
"2019";"Westindische Buurt";"WK036343  ";"    3900";"    14.0";"    24.0";"    61.9";"   0.088";"   0.928"
"2019";"Paramariboplein e.o.";"BU03634300";"    2200";"    13.2";"    22.8";"    64.0";"   0.104";"   0.922"
"2019";"Postjeskade e.o.";"BU03634301";"    1700";"    15.0";"    25.7";"    59.3";"   0.068";"   0.935"
"2019";"Hoofddorppleinbuurt";"WK036344  ";"    6900";"    12.1";"    23.9";"    64.0";"   0.185";"   0.859"
"2019";"Surinamepleinbuurt";"BU03634400";"     900";"    10.7";"    23.1";"    66.2";"   0.188";"   0.827"
"2019";"Westlandgrachtbuurt";"BU03634401";"    2100";"    13.1";"    24.7";"    62.2";"   0.169";"   0.864"
"2019";"Aalsmeerwegbuurt West";"BU03634402";"    1500";"    11.3";"    21.9";"    66.8";"   0.237";"   0.833"
"2019";"Aalsmeerwegbuurt Oost";"BU03634403";"    1300";"    12.8";"    24.1";"    63.1";"   0.167";"   0.885"
"2019";"Legmeerpleinbuurt";"BU03634404";"    1000";"    11.7";"    24.4";"    63.9";"   0.198";"   0.851"
"2019";"Bedrijventerrein Schinkel";"BU03634405";"     100";"    13.6";"    35.9";"    50.5";"  -0.162";"   0.991"
"2019";"Schinkelbuurt";"WK036345  ";"    2500";"    15.7";"    26.6";"    57.7";"   0.039";"   0.939"
"2019";"Schinkelbuurt Noord";"BU03634500";"    1500";"    12.2";"    26.0";"    61.8";"   0.159";"   0.888"
"2019";"Schinkelbuurt Zuid";"BU03634501";"    1000";"    21.2";"    27.5";"    51.3";"  -0.148";"   0.972"
"2019";"Willemspark";"WK036346  ";"    2600";"     8.5";"    20.6";"    70.9";"   0.401";"   0.726"
"2019";"Valeriusbuurt Oost";"BU03634600";"     600";"     6.8";"    19.2";"    74.0";"   0.539";"   0.599"
"2019";"Valeriusbuurt West";"BU03634601";"    1200";"     9.9";"    21.1";"    69.0";"   0.356";"   0.769"
"2019";"Willemsparkbuurt Noord";"BU03634602";"     800";"     7.6";"    20.9";"    71.5";"   0.367";"   0.738"
"2019";"Vondelpark West";"BU03634603";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Museumkwartier";"WK036347  ";"    6700";"     8.9";"    21.8";"    69.3";"   0.336";"   0.726"
"2019";"Johannnes Vermeerbuurt";"BU03634700";"     800";"     8.1";"    20.4";"    71.5";"   0.405";"   0.701"
"2019";"P.C. Hooftbuurt";"BU03634701";"     400";"    11.2";"    24.6";"    64.1";"   0.302";"   0.757"
"2019";"Concertgebouwbuurt";"BU03634702";"     900";"     6.3";"    20.0";"    73.7";"   0.391";"   0.686"
"2019";"Cornelis Schuytbuurt";"BU03634703";"    1400";"     6.8";"    20.2";"    73.0";"   0.406";"   0.714"
"2019";"Banpleinbuurt";"BU03634704";"     300";"     7.0";"    19.2";"    73.8";"   0.490";"   0.603"
"2019";"Hondecoeterbuurt";"BU03634705";"    1100";"    10.0";"    20.9";"    69.1";"   0.305";"   0.761"
"2019";"Harmoniehofbuurt";"BU03634706";"     900";"    14.0";"    26.0";"    60.0";"   0.171";"   0.654"
"2019";"Museumplein";"BU03634707";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Vondelpark Oost";"BU03634708";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Duivelseiland";"BU03634709";"     900";"     8.6";"    24.3";"    67.1";"   0.259";"   0.788"
"2019";"Stadionbuurt";"WK036348  ";"    6800";"    19.2";"    27.4";"    53.4";"  -0.041";"   0.985"
"2019";"Bertelmanpleinbuurt";"BU03634800";"     600";"    25.7";"    30.2";"    44.0";"  -0.300";"   1.013"
"2019";"Marathonbuurt Oost";"BU03634801";"     900";"    21.2";"    31.5";"    47.3";"  -0.170";"   1.002"
"2019";"Marathonbuurt West";"BU03634802";"    1500";"    28.0";"    31.8";"    40.2";"  -0.381";"   1.080"
"2019";"Olympisch Stadion e.o.";"BU03634803";"    1100";"    16.0";"    23.8";"    60.2";"   0.202";"   0.866"
"2019";"IJsbaanpad e.o.";"BU03634804";"     200";"     6.5";"    18.8";"    74.7";"   0.532";"   0.544"
"2019";"Van Tuyllbuurt";"BU03634805";"    2400";"    13.3";"    24.7";"    62.0";"   0.140";"   0.861"
"2019";"Apollobuurt";"WK036349  ";"    4000";"     7.8";"    20.7";"    71.5";"   0.427";"   0.665"
"2019";"Diepenbrockbuurt";"BU03634900";"     300";"     4.9";"    15.5";"    79.6";"   0.573";"   0.542"
"2019";"Beethovenbuurt";"BU03634901";"     600";"    12.3";"    21.6";"    66.1";"   0.363";"   0.743"
"2019";"Hiltonbuurt";"BU03634902";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Minervabuurt Noord";"BU03634903";"     600";"     7.6";"    19.9";"    72.5";"   0.461";"   0.634"
"2019";"Minervabuurt Midden";"BU03634904";"    1100";"     6.5";"    22.2";"    71.3";"   0.407";"   0.690"
"2019";"Minervabuurt Zuid";"BU03634905";"    1300";"     7.8";"    20.7";"    71.5";"   0.419";"   0.649"
"2019";"IJburg Oost";"WK036350  ";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Strandeiland";"BU03635000";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Middeneiland Zuidoost";"BU03635001";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Middeneiland Zuidwest";"BU03635003";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Buiteneiland";"BU03635005";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Centrumeiland";"BU03635006";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"IJburg Zuid";"WK036351  ";"    3100";"    15.6";"    26.7";"    57.8";"   0.174";"   0.960"
"2019";"Rieteiland Oost";"BU03635100";"     100";"       .";"       .";"       .";"       .";"       ."
"2019";"Haveneiland Oost";"BU03635101";"    2200";"    13.7";"    25.2";"    61.1";"   0.232";"   0.952"
"2019";"Haveneiland Noord";"BU03635102";"     800";"    21.9";"    32.7";"    45.4";"  -0.049";"   0.940"
"2019";"Scheldebuurt";"WK036352  ";"    8300";"    12.6";"    22.1";"    65.3";"   0.178";"   0.860"
"2019";"Wielingenbuurt";"BU03635200";"    1600";"    10.2";"    20.6";"    69.3";"   0.297";"   0.762"
"2019";"Scheldebuurt West";"BU03635201";"    2400";"    13.9";"    23.9";"    62.2";"   0.132";"   0.879"
"2019";"Scheldebuurt Midden";"BU03635202";"    1700";"    11.1";"    20.8";"    68.1";"   0.205";"   0.831"
"2019";"Scheldebuurt Oost";"BU03635203";"    1400";"    10.7";"    21.4";"    68.0";"   0.184";"   0.840"
"2019";"Veluwebuurt";"BU03635206";"     900";"    22.7";"    26.8";"    50.4";"  -0.138";"   1.037"
"2019";"Kop Zuidas";"BU03635207";"     300";"     4.6";"    12.6";"    82.8";"   0.616";"   0.507"
"2019";"IJselbuurt";"WK036353  ";"    3300";"    16.7";"    27.6";"    55.7";"  -0.085";"   0.957"
"2019";"IJselbuurt West";"BU03635300";"    1500";"    18.5";"    28.3";"    53.3";"  -0.121";"   0.988"
"2019";"IJselbuurt Oost";"BU03635301";"    1800";"    15.2";"    26.9";"    57.9";"  -0.053";"   0.927"
"2019";"Rijnbuurt";"WK036354  ";"    5600";"    17.8";"    26.9";"    55.4";"  -0.082";"   0.997"
"2019";"Kromme Mijdrechtbuurt";"BU03635400";"    1600";"    17.8";"    26.6";"    55.5";"  -0.123";"   1.019"
"2019";"Rijnbuurt Oost";"BU03635401";"    1700";"    13.0";"    25.4";"    61.5";"   0.094";"   0.889"
"2019";"Rijnbuurt Midden";"BU03635402";"    1300";"    13.0";"    25.3";"    61.7";"   0.063";"   0.908"
"2019";"Rijnbuurt West";"BU03635403";"    1100";"    30.8";"    31.1";"    38.1";"  -0.474";"   1.075"
"2019";"Zorgvlied";"BU03635404";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Frankendael";"WK036355  ";"    6100";"    19.2";"    30.0";"    50.7";"  -0.166";"   1.032"
"2019";"De Eenhoorn";"BU03635501";"    1400";"     7.2";"    37.6";"    55.3";"  -0.400";"   0.984"
"2019";"Julianapark";"BU03635502";"     600";"    10.2";"    18.3";"    71.5";"   0.394";"   0.651"
"2019";"Don Bosco";"BU03635503";"    1000";"    14.4";"    20.4";"    65.2";"   0.203";"   0.887"
"2019";"Frankendael";"BU03635504";"       0";"       .";"       .";"       .";"       .";"       ."
