"Perioden";"Wijken en buurten";"Regiocode (gemeente, wijk, buurt) (code)";"Particuliere huishoudens (Aantal)";"Opleidingsniveau/Laag/Waarde (%)";"Opleidingsniveau/Middelbaar/Waarde (%)";"Opleidingsniveau/Hoog/Waarde (%)";"SES-WOA/Totaalscore/Gemiddelde score (Getal)"
"2019";"Centrale Markt";"WK036315  ";"    1300";"    17.2";"    24.1";"    58.7";"   0.112"
"2019";"Ecowijk";"BU03631500";"     600";"    15.1";"    22.2";"    62.7";"   0.237"
"2019";"Markthallen";"BU03631501";"       0";"       .";"       .";"       .";"       ."
"2019";"Bedrijvencentrum Westerkwartier";"BU03631502";"       0";"       .";"       .";"       .";"       ."
"2019";"Marcanti";"BU03631503";"     600";"    19.3";"    25.4";"    55.2";"  -0.024"
"2019";"Frederik Hendrikbuurt";"WK036316  ";"    5100";"    16.7";"    24.4";"    59.0";"   0.007"
"2019";"Frederik Hendrikbuurt Noord";"BU03631600";"    2300";"    16.4";"    23.8";"    59.8";"   0.007"
"2019";"Frederik Hendrikbuurt Zuidoost";"BU03631601";"    2000";"    16.9";"    24.9";"    58.2";"  -0.027"
"2019";"Frederik Hendrikbuurt Zuidwest";"BU03631602";"     700";"    16.8";"    24.7";"    58.5";"   0.107"
"2019";"Da Costabuurt";"WK036317  ";"    2800";"    13.2";"    23.3";"    63.4";"   0.121"
"2019";"Da Costabuurt Noord";"BU03631700";"    2800";"    13.2";"    23.3";"    63.4";"   0.121"
"2019";"Kinkerbuurt";"WK036318  ";"    3800";"    14.8";"    24.6";"    60.5";"   0.035"
"2019";"Bellamybuurt Noord";"BU03631800";"    1500";"    16.4";"    25.1";"    58.5";"  -0.017"
"2019";"Bellamybuurt Zuid";"BU03631801";"    2300";"    13.9";"    24.4";"    61.8";"   0.067"
"2019";"Van Lennepbuurt";"WK036319  ";"    4400";"    21.5";"    27.1";"    51.4";"  -0.163"
"2019";"Da Costabuurt Zuid";"BU03631900";"    1500";"    11.2";"    26.9";"    61.9";"   0.064"
"2019";"Borgerbuurt";"BU03631901";"    1700";"    32.2";"    28.4";"    39.5";"  -0.404"
"2019";"Lootsbuurt";"BU03631902";"    1200";"    18.8";"    25.5";"    55.7";"  -0.094"
"2019";"Helmersbuurt";"WK036320  ";"    4500";"    12.0";"    21.5";"    66.5";"   0.152"
"2019";"Helmersbuurt Oost";"BU03632000";"    1500";"     8.6";"    21.8";"    69.6";"   0.257"
"2019";"WG-terrein";"BU03632001";"    1600";"    16.7";"    22.0";"    61.2";"  -0.017"
"2019";"Cremerbuurt Oost";"BU03632002";"    1400";"    10.3";"    20.5";"    69.2";"   0.228"
"2019";"Overtoomse Sluis";"WK036321  ";"    4700";"    10.9";"    23.1";"    66.0";"   0.185"
"2019";"Cremerbuurt West";"BU03632100";"    3500";"    10.9";"    23.0";"    66.1";"   0.174"
"2019";"Vondelparkbuurt West";"BU03632101";"    1300";"    10.8";"    23.4";"    65.9";"   0.216"
"2019";"Vondelbuurt";"WK036322  ";"    1000";"    12.6";"    23.4";"    64.0";"   0.183"
"2019";"Vondelparkbuurt Oost";"BU03632200";"     500";"    11.1";"    22.2";"    66.7";"   0.232"
"2019";"Vondelparkbuurt Midden";"BU03632201";"     500";"    14.2";"    24.8";"    61.0";"   0.129"
"2019";"Zuidas";"WK036323  ";"    2400";"     7.0";"    29.6";"    63.4";"   0.102"
"2019";"Zuidas Noord";"BU03632300";"     300";"     9.0";"    16.8";"    74.1";"   0.490"
"2019";"RAI";"BU03632301";"       0";"       .";"       .";"       .";"       ."
"2019";"VU-kwartier";"BU03632302";"     100";"       .";"       .";"       .";"       ."
"2019";"Zuidas Zuid";"BU03632303";"    1300";"     9.2";"    21.7";"    69.0";"   0.416"
"2019";"Vivaldi";"BU03632304";"     800";"     1.8";"    48.9";"    49.3";"  -0.569"
"2019";"Oude Pijp";"WK036324  ";"    9500";"    13.4";"    25.9";"    60.7";"   0.023"
"2019";"Hemonybuurt";"BU03632400";"    1600";"    10.4";"    24.6";"    64.9";"   0.105"
"2019";"Gerard Doubuurt";"BU03632401";"    1300";"    14.7";"    29.1";"    56.2";"  -0.038"
"2019";"Frans Halsbuurt";"BU03632402";"    1700";"    12.7";"    23.9";"    63.3";"   0.100"
"2019";"Hercules Seghersbuurt";"BU03632403";"    1700";"    16.4";"    26.6";"    57.0";"  -0.092"
"2019";"Sarphatiparkbuurt";"BU03632404";"    3300";"    13.2";"    25.9";"    60.9";"   0.028"
"2019";"Nieuwe Pijp";"WK036325  ";"    7800";"    16.0";"    25.0";"    59.1";"  -0.003"
"2019";"Willibrordusbuurt";"BU03632500";"    1800";"    19.5";"    25.6";"    54.9";"  -0.117"
"2019";"Van der Helstpleinbuurt";"BU03632501";"    2400";"    13.6";"    24.2";"    62.1";"   0.067"
"2019";"Lizzy Ansinghbuurt";"BU03632502";"    1400";"    17.0";"    26.3";"    56.8";"  -0.044"
"2019";"Cornelis Troostbuurt";"BU03632503";"    2200";"    15.0";"    24.4";"    60.6";"   0.040"
"2019";"Zuid Pijp";"WK036326  ";"    4800";"    25.3";"    28.1";"    46.6";"  -0.290"
"2019";"Diamantbuurt";"BU03632600";"    1800";"    27.2";"    28.4";"    44.4";"  -0.325"
"2019";"Burgemeester Tellegenbuurt Oost";"BU03632601";"    1700";"    23.0";"    27.4";"    49.6";"  -0.253"
"2019";"Burgemeester Tellegenbuurt West";"BU03632602";"    1400";"    25.6";"    28.6";"    45.8";"  -0.288"
"2019";"Weesperzijde";"WK036327  ";"    3300";"    10.8";"    22.9";"    66.4";"   0.157"
"2019";"Swammerdambuurt";"BU03632700";"    1200";"     8.2";"    21.6";"    70.2";"   0.251"
"2019";"Weesperzijde Midden/Zuid";"BU03632701";"    1900";"    11.7";"    21.5";"    66.8";"   0.192"
"2019";"Parooldriehoek";"BU03632702";"     200";"    17.4";"    42.8";"    39.8";"  -0.715"
"2019";"Oosterparkbuurt";"WK036328  ";"    6400";"    20.4";"    25.2";"    54.4";"  -0.133"
"2019";"Oosterparkbuurt Noordwest";"BU03632800";"    2400";"    17.5";"    25.4";"    57.1";"  -0.113"
"2019";"Oosterpark";"BU03632801";"     100";"       .";"       .";"       .";"       ."
"2019";"Oosterparkbuurt Zuidoost";"BU03632802";"    2100";"    18.3";"    23.6";"    58.1";"  -0.020"
"2019";"Oosterparkbuurt Zuidwest";"BU03632803";"    1800";"    26.9";"    26.7";"    46.3";"  -0.278"
"2019";"Dapperbuurt";"WK036329  ";"    5700";"    23.1";"    25.0";"    51.9";"  -0.190"
"2019";"Dapperbuurt Noord";"BU03632900";"    2500";"    22.6";"    25.3";"    52.1";"  -0.197"
"2019";"Dapperbuurt Zuid";"BU03632901";"    2300";"    24.0";"    25.6";"    50.4";"  -0.252"
"2019";"Oostpoort";"BU03632902";"    1000";"    22.3";"    22.7";"    55.0";"  -0.039"
"2019";"Transvaalbuurt";"WK036330  ";"    5000";"    25.3";"    25.5";"    49.2";"  -0.250"
"2019";"Transvaalbuurt West";"BU03633000";"    2300";"    26.3";"    25.2";"    48.5";"  -0.262"
"2019";"Transvaalbuurt Oost";"BU03633001";"    2700";"    24.4";"    25.8";"    49.8";"  -0.240"
"2019";"Indische Buurt West";"WK036331  ";"    6900";"    23.7";"    25.3";"    51.0";"  -0.202"
"2019";"Noordwestkwadrant Indische buurt Noord";"BU03633100";"    2300";"    16.9";"    23.6";"    59.4";"  -0.039"
